,region,UF,city,lat,lon,temperature,altitude
0,S,PR,MORRETES,"-25,508935","-48,808681",21.03701046689404,-48.808681
0,S,RS,TEUTONIA,"-29,45027777","-51,82416666",19.950438446646167,-51.82416666
0,SE,SP,DRACENA,"-21,457699","-51,552254",25.805365707434056,-51.552254
0,SE,RJ,TERESOPOLIS-PARQUE NACIONAL,"-22,4486111","-42,98694444",18.040685493053974,-42.98694444
0,NE,MA,CAXIAS,"-4,821352","-43,343659",26.38900398406374,-43.343659
0,N,PA,MONTE ALEGRE,-2,"-54,07638888",27.49666072296969,-54.07638888
0,SE,RJ,CAMPOS DOS GOYTACAZES,"-21,71472222","-41,34388888",23.66658697632058,-41.34388888
0,N,PA,TOME ACU,"-2,59249999","-48,36055555",26.65091356289529,-48.36055555
0,S,PR,DIAMANTE DO NORTE,"-22,639366","-52,890156",24.082335801869615,-52.890156
0,CO,MS,SELVIRIA,"-20,351444","-51,430222",26.432005086901228,-51.430222
0,CO,MT,PORTO ESTRELA,"-15,32472221","-57,22583332",26.438080601092896,-57.22583332
0,S,RS,SAO LUIZ GONZAGA,"-28,417113","-54,962403",20.997693273952265,-54.962403
0,NE,PI,CARACOL,"-9,28583333","-43,32444443",25.00428015564202,-43.32444443
0,NE,BA,RIBEIRA DO AMPARO,"-11,05861111","-38,44416666",26.107481481481482,-38.44416666
0,NE,MA,ESTREITO,"-6,65333333","-47,41833332",26.344589977220956,-47.41833332
0,SE,MG,ARAXA,"-19,605696","-46,949617",21.773613963039015,-46.949617
0,NE,PI,OEIRAS,"-6,97416666","-42,14694444",26.378913043478263,-42.14694444
0,SE,MG,MARIA DA FE,"-22,314567","-45,373049",16.749282786885246,-45.373049
0,CO,MT,JUARA,"-11,280158","-57,526641",26.25790330457431,-57.526641
0,SE,SP,IGUAPE,"-24,671654","-47,545896",21.533515482695808,-47.545896
0,NE,PI,PARNAIBA,"-3,08666666","-41,78305554",26.962639664804474,-41.78305554
0,SE,ES,NOVA VENECIA,"-18,69527777","-40,39055555",24.124251705415563,-40.39055555
0,CO,MT,SAO JOSE DO XINGU,"-10,48416666","-52,37249999",26.12160402147835,-52.37249999
0,NE,CE,BARBALHA,"-7,30083333","-39,2711111",26.499827109266942,-39.2711111
0,S,PR,CURITIBA,"-25,448688","-49,230602",18.405148861646232,-49.230602
0,CO,MS,NOVA ALVORADA DO SUL,"-21,450972","-54,341972",24.293623075928082,-54.341972
0,NE,CE,QUIXERAMOBIM,"-5,174568","-39,289393",27.37722586691659,-39.289393
0,N,TO,SANTA FE DO ARAGUAIA,"-7,124191","-48,781267",26.52964238410596,-48.781267
0,SE,RJ,MACAE,"-22,3761111","-41,81194444",23.267915290902877,-41.81194444
0,CO,MT,ALTO ARAGUAIA,"-17,33944444","-53,22444443",23.84935602575897,-53.22444443
0,N,AC,CRUZEIRO DO SUL,"-7,61083333","-72,68138888",27.20201342281879,-72.68138888
0,SE,MG,BURITIS,"-15,52416666","-46,43555555",22.230135581633817,-46.43555555
0,SE,MG,BARBACENA,"-21,228373","-43,767703",18.57155879671832,-43.767703
0,N,TO,PEIXE,"-12,015377","-48,544517",26.712533398105418,-48.544517
0,CO,GO,POSSE,"-14,08916666","-46,36638888",24.378113154569704,-46.36638888
0,S,RS,BAGE,"-31,347801","-54,013292",18.15473708593931,-54.013292
0,NE,PE,SALGUEIRO,"-8,05805555","-39,0961111",28.82730755834204,-39.0961111
0,N,PA,MEDICILANDIA,"-3,510943","-52,96345",25.898198403648802,-52.96345
0,CO,MT,JUINA,"-11,375126","-58,774785",25.38252305590345,-58.774785
0,SE,SP,CACHOEIRA PAULISTA,"-22,68888888","-45,00555555",21.073888428610882,-45.00555555
0,SE,RJ,CAMBUCI,"-21,58749999","-41,95833333",22.947172462240957,-41.95833333
0,NE,BA,CARAVELAS,"-17,73944444","-39,25861111",24.589270085769297,-39.25861111
0,N,AC,RIO BRANCO,"-9,95777777","-68,16527777",26.192271934921557,-68.16527777
0,NE,AL,CORURIPE,"-10,1286111","-36,28638888",25.87166831194472,-36.28638888
0,SE,ES,ALFREDO CHAVES,"-20,636526","-40,741818",25.32524644030668,-40.741818
0,S,SC,ITAPOA,"-26,081303","-48,641774",20.62581417624521,-48.641774
0,NE,PE,PALMARES,"-8,66666666","-35,56805554",25.14582716611636,-35.56805554
0,CO,GO,IPORA,"-16,42305554","-51,14888888",23.64286897122749,-51.14888888
0,NE,BA,CONDE,"-12,035833","-37,683889",25.78512879221522,-37.683889
0,S,SC,URUSSANGA,"-28,53249999","-49,31527777",19.586756822612088,-49.31527777
0,NE,PI,CORRENTE,"-10,42916666","-45,17305554",26.99866910229645,-45.17305554
0,CO,MS,PORTO MURTINHO,"-21,70583333","-57,88666666",25.276799271181293,-57.88666666
0,N,AM,ITACOATIARA,"-3,13333333","-58,48277777",26.869864724245577,-58.48277777
0,SE,SP,ARIRANHA,"-21,13305554","-48,84055555",25.437227367792055,-48.84055555
0,CO,MT,NOVA UBIRATA,"-13,41111111","-54,75222222",25.356183852434228,-54.75222222
0,CO,MT,COMODORO,"-13,70805555","-59,7625",23.695250420603077,-59.7625
0,SE,MG,CALDAS,"-21,918066","-46,382996",18.063649817850642,-46.382996
0,CO,DF,BRASILIA,"-15,789343","-47,925756",21.34896402550091,-47.925756
